country,fuel,year,capacity_factor
ARE,Nuclear,2016,
ARE,Nuclear,2017,
ARE,Oil,2014,
ARE,Oil,2015,0.07634711659198082
ARE,Oil,2016,0.07686043812053735
ARE,Oil,2017,0.07383760327795869
ARE,Other,2014,
ARE,Other,2015,
ARE,Other,2016,
ARE,Other,2017,
ARE,Petcoke,2014,
ARE,Petcoke,2015,
ARE,Petcoke,2016,
ARE,Petcoke,2017,
ARE,Solar,2014,0.2176604496984704
ARE,Solar,2015,0.21904572827741378
ARE,Solar,2016,0.21243496221925906
ARE,Solar,2017,0.23673987668004606
ARE,Storage,2014,
ARE,Storage,2015,
ARE,Storage,2016,
ARE,Storage,2017,
ARE,Waste,2014,
ARE,Waste,2015,0.0
ARE,Waste,2016,0.0
ARE,Waste,2017,0.0
ARE,Wave and Tidal,2014,
ARE,Wave and Tidal,2015,
ARE,Wave and Tidal,2016,
ARE,Wave and Tidal,2017,
ARE,Wind,2014,0.20145044319097505
ARE,Wind,2015,0.20145044319097505
ARE,Wind,2016,0.10045001607200259
ARE,Wind,2017,0.10072522159548752
ARG,Biomass,2014,
ARG,Biomass,2015,4.3817581138355335
ARG,Biomass,2016,3.497055197470184
ARG,Biomass,2017,4.293631079740619
ARG,Coal,2014,
ARG,Coal,2015,0.8022442436607403
ARG,Coal,2016,0.6164496376390343
ARG,Coal,2017,0.591664237831536
ARG,Cogeneration,2014,
ARG,Cogeneration,2015,
ARG,Cogeneration,2016,
ARG,Cogeneration,2017,
ARG,Gas,2014,
ARG,Gas,2015,0.5524536021578647
ARG,Gas,2016,0.5817387389074276
ARG,Gas,2017,0.6393852926062906
ARG,Geothermal,2014,
ARG,Geothermal,2015,
ARG,Geothermal,2016,
ARG,Geothermal,2017,
ARG,Hydro,2014,0.4074980979159441
ARG,Hydro,2015,0.4277970365612049
ARG,Hydro,2016,0.36543860482813123
ARG,Hydro,2017,0.41650764014963965
ARG,Nuclear,2014,
ARG,Nuclear,2015,0.46225430397024586
ARG,Nuclear,2016,0.5349927212577502
ARG,Nuclear,2017,0.4022952781295892
ARG,Oil,2014,
ARG,Oil,2015,1.0089869602491346
ARG,Oil,2016,0.9433998521423063
ARG,Oil,2017,0.5171977709198498
ARG,Other,2014,
ARG,Other,2015,0.0
ARG,Other,2016,0.0
ARG,Other,2017,0.0
ARG,Petcoke,2014,
ARG,Petcoke,2015,
ARG,Petcoke,2016,
ARG,Petcoke,2017,
ARG,Solar,2014,0.21868295098201024
ARG,Solar,2015,0.1919883769198838
ARG,Solar,2016,0.18758279516476234
ARG,Solar,2017,0.18809672063096722
ARG,Storage,2014,
ARG,Storage,2015,
ARG,Storage,2016,
ARG,Storage,2017,
ARG,Waste,2014,
ARG,Waste,2015,0.0
ARG,Waste,2016,0.0
ARG,Waste,2017,0.0
ARG,Wave and Tidal,2014,
ARG,Wave and Tidal,2015,
ARG,Wave and Tidal,2016,
ARG,Wave and Tidal,2017,
ARG,Wind,2014,0.32840853151363925
ARG,Wind,2015,0.3175871229481761
ARG,Wind,2016,0.2929893223079246
ARG,Wind,2017,0.7173317142106423
ARM,Biomass,2014,
ARM,Biomass,2015,0.0
ARM,Biomass,2016,0.0
ARM,Biomass,2017,0.0
ARM,Coal,2014,
ARM,Coal,2015,
ARM,Coal,2016,
ARM,Coal,2017,
ARM,Cogeneration,2014,
ARM,Cogeneration,2015,
ARM,Cogeneration,2016,
ARM,Cogeneration,2017,
ARM,Gas,2014,
ARM,Gas,2015,0.6732972382553982
ARM,Gas,2016,0.6187190784293194
ARM,Gas,2017,0.6903640372258135
ARM,Geothermal,2014,
ARM,Geothermal,2015,
ARM,Geothermal,2016,
ARM,Geothermal,2017,
ARM,Hydro,2014,0.17522976151656847
ARM,Hydro,2015,0.1956795072027731
ARM,Hydro,2016,0.2042509208229827
ARM,Hydro,2017,0.195228881794767
ARM,Nuclear,2014,
ARM,Nuclear,2015,0.7810180127181556
ARM,Nuclear,2016,0.6649010470794641
ARM,Nuclear,2017,0.7339552343334174
ARM,Oil,2014,
ARM,Oil,2015,0.0
ARM,Oil,2016,0.0
ARM,Oil,2017,0.0
ARM,Other,2014,
ARM,Other,2015,
ARM,Other,2016,
ARM,Other,2017,
ARM,Petcoke,2014,
ARM,Petcoke,2015,
ARM,Petcoke,2016,
ARM,Petcoke,2017,
ARM,Solar,2014,
ARM,Solar,2015,
ARM,Solar,2016,0.13661202185792348
ARM,Solar,2017,0.1284246575342466
ARM,Storage,2014,
ARM,Storage,2015,
ARM,Storage,2016,
ARM,Storage,2017,
ARM,Waste,2014,
ARM,Waste,2015,0.0
ARM,Waste,2016,0.0
ARM,Waste,2017,0.0
ARM,Wave and Tidal,2014,
ARM,Wave and Tidal,2015,
ARM,Wave and Tidal,2016,
ARM,Wave and Tidal,2017,
ARM,Wind,2014,0.17562346329469614
ARM,Wind,2015,0.16245170354759395
ARM,Wind,2016,0.07066139061616733
ARM,Wind,2017,0.08266414737836562
ATA,Biomass,2014,
ATA,Biomass,2015,
ATA,Biomass,2016,
ATA,Biomass,2017,
ATA,Coal,2014,
ATA,Coal,2015,
ATA,Coal,2016,
ATA,Coal,2017,
ATA,Cogeneration,2014,
ATA,Cogeneration,2015,
ATA,Cogeneration,2016,
ATA,Cogeneration,2017,
ATA,Gas,2014,
ATA,Gas,2015,
ATA,Gas,2016,
ATA,Gas,2017,
ATA,Geothermal,2014,
ATA,Geothermal,2015,
ATA,Geothermal,2016,
ATA,Geothermal,2017,
ATA,Hydro,2014,
ATA,Hydro,2015,
ATA,Hydro,2016,
ATA,Hydro,2017,
ATA,Nuclear,2014,
ATA,Nuclear,2015,
ATA,Nuclear,2016,
ATA,Nuclear,2017,
ATA,Oil,2014,
ATA,Oil,2015,
ATA,Oil,2016,
ATA,Oil,2017,
ATA,Other,2014,
ATA,Other,2015,
ATA,Other,2016,
ATA,Other,2017,
ATA,Petcoke,2014,
ATA,Petcoke,2015,
ATA,Petcoke,2016,
ATA,Petcoke,2017,
ATA,Solar,2014,
ATA,Solar,2015,
ATA,Solar,2016,
ATA,Solar,2017,
ATA,Storage,2014,
ATA,Storage,2015,
ATA,Storage,2016,
ATA,Storage,2017,
ATA,Waste,2014,
ATA,Waste,2015,
ATA,Waste,2016,
ATA,Waste,2017,
ATA,Wave and Tidal,2014,
ATA,Wave and Tidal,2015,
ATA,Wave and Tidal,2016,
ATA,Wave and Tidal,2017,
ATA,Wind,2014,
ATA,Wind,2015,
ATA,Wind,2016,
ATA,Wind,2017,
AUS,Biomass,2014,
AUS,Biomass,2015,0.7082475338950428
AUS,Biomass,2016,0.7286293984091456
AUS,Biomass,2017,0.6870472196875415
AUS,Coal,2014,
AUS,Coal,2015,0.7225658870890964
AUS,Coal,2016,0.7411267766403032
AUS,Coal,2017,0.7372349631651754
AUS,Cogeneration,2014,
AUS,Cogeneration,2015,
AUS,Cogeneration,2016,
AUS,Cogeneration,2017,
AUS,Gas,2014,
AUS,Gas,2015,0.3291624263930523
AUS,Gas,2016,0.3154233852315757
AUS,Gas,2017,0.31660127398485416
AUS,Geothermal,2014,
AUS,Geothermal,2015,0.13921372090433232
AUS,Geothermal,2016,0.0
AUS,Geothermal,2017,0.13921372090433232
AUS,Hydro,2014,0.28057619560833535
AUS,Hydro,2015,0.20386068438681754
AUS,Hydro,2016,0.22919729039090703
AUS,Hydro,2017,0.2453702938690628
AUS,Nuclear,2014,
AUS,Nuclear,2015,
AUS,Nuclear,2016,
AUS,Nuclear,2017,
AUS,Oil,2014,
AUS,Oil,2015,0.28433676350112086
AUS,Oil,2016,0.23251160031945525
AUS,Oil,2017,0.22047704326782014
AUS,Other,2014,
AUS,Other,2015,0.0
AUS,Other,2016,0.0
AUS,Other,2017,0.0
AUS,Petcoke,2014,
AUS,Petcoke,2015,
AUS,Petcoke,2016,
AUS,Petcoke,2017,
AUS,Solar,2014,0.08656701198414098
AUS,Solar,2015,0.09640673152943834
AUS,Solar,2016,0.10565330486943056
AUS,Solar,2017,0.12531923720939478
AUS,Storage,2014,
AUS,Storage,2015,
AUS,Storage,2016,
AUS,Storage,2017,
AUS,Waste,2014,
AUS,Waste,2015,0.0
AUS,Waste,2016,0.0
AUS,Waste,2017,0.0
AUS,Wave and Tidal,2014,
AUS,Wave and Tidal,2015,
AUS,Wave and Tidal,2016,
AUS,Wave and Tidal,2017,
AUS,Wind,2014,0.30822218454126843
AUS,Wind,2015,0.309168225044918
AUS,Wind,2016,0.32095563797951016
AUS,Wind,2017,0.298590884267055
AUT,Biomass,2014,
AUT,Biomass,2015,0.891232946805965
AUT,Biomass,2016,0.9220140868722672
AUT,Biomass,2017,0.9171149795387258
AUT,Coal,2014,
AUT,Coal,2015,0.734685526695124
AUT,Coal,2016,0.5747234371695993
AUT,Coal,2017,0.5690325400589608
AUT,Cogeneration,2014,
AUT,Cogeneration,2015,
AUT,Cogeneration,2016,
AUT,Cogeneration,2017,
AUT,Gas,2014,
AUT,Gas,2015,0.23844523495916062
AUT,Gas,2016,0.26411513863657765
AUT,Gas,2017,0.34214959224406477
AUT,Geothermal,2014,
AUT,Geothermal,2015,0.0
AUT,Geothermal,2016,0.0
AUT,Geothermal,2017,0.0
AUT,Hydro,2014,0.3522508328140163
AUT,Hydro,2015,0.31657348145870584
AUT,Hydro,2016,0.32179902428288704
AUT,Hydro,2017,0.30955089119012447
AUT,Nuclear,2014,
AUT,Nuclear,2015,
AUT,Nuclear,2016,
AUT,Nuclear,2017,
AUT,Oil,2014,
AUT,Oil,2015,0.1544994655545824
AUT,Oil,2016,0.17909690325693742
AUT,Oil,2017,0.14691888430073607
AUT,Other,2014,
AUT,Other,2015,0.009939508153378537
AUT,Other,2016,0.009912351027276412
AUT,Other,2017,0.008614240399594733
AUT,Petcoke,2014,
AUT,Petcoke,2015,
AUT,Petcoke,2016,
AUT,Petcoke,2017,
AUT,Solar,2014,0.1141552511415525
AUT,Solar,2015,0.1141552511415525
AUT,Solar,2016,0.11384335154826959
AUT,Solar,2017,0.1141552511415525
AUT,Storage,2014,
AUT,Storage,2015,
AUT,Storage,2016,
AUT,Storage,2017,
AUT,Waste,2014,
AUT,Waste,2015,0.1258941182537966
AUT,Waste,2016,0.13553581364231332
AUT,Waste,2017,0.13331950860656744
AUT,Wave and Tidal,2014,
AUT,Wave and Tidal,2015,
AUT,Wave and Tidal,2016,
AUT,Wave and Tidal,2017,
AUT,Wind,2014,0.20803594978921608
AUT,Wind,2015,0.22189336898672413
AUT,Wind,2016,0.21819141696190877
AUT,Wind,2017,0.25999019594351236
AZE,Biomass,2014,
AZE,Biomass,2015,
AZE,Biomass,2016,
AZE,Biomass,2017,
AZE,Coal,2014,
AZE,Coal,2015,
AZE,Coal,2016,
AZE,Coal,2017,
AZE,Cogeneration,2014,
AZE,Cogeneration,2015,
AZE,Cogeneration,2016,
AZE,Cogeneration,2017,
AZE,Gas,2014,
AZE,Gas,2015,0.8828852470523297
AZE,Gas,2016,0.8356455982621249
AZE,Gas,2017,0.8732471246489728
AZE,Geothermal,2014,
AZE,Geothermal,2015,
AZE,Geothermal,2016,
AZE,Geothermal,2017,
AZE,Hydro,2014,0.13766403198888522
AZE,Hydro,2015,0.16947345761041907
AZE,Hydro,2016,0.2018581707588458
AZE,Hydro,2017,0.18018865744179982
AZE,Nuclear,2014,
AZE,Nuclear,2015,
AZE,Nuclear,2016,
AZE,Nuclear,2017,
AZE,Oil,2014,
AZE,Oil,2015,0.07273889317385998
AZE,Oil,2016,0.11700315908529531
AZE,Oil,2017,0.05997450743955474
AZE,Other,2014,
AZE,Other,2015,
AZE,Other,2016,
AZE,Other,2017,
AZE,Petcoke,2014,
AZE,Petcoke,2015,
AZE,Petcoke,2016,
AZE,Petcoke,2017,
AZE,Solar,2014,0.13793759512937595
AZE,Solar,2015,0.1050228310502283
AZE,Solar,2016,0.16139238191381192
AZE,Solar,2017,0.1495273007910477
AZE,Storage,2014,
AZE,Storage,2015,
AZE,Storage,2016,
AZE,Storage,2017,
AZE,Waste,2014,
AZE,Waste,2015,0.0410597938888588
AZE,Waste,2016,0.03914771377351563
AZE,Waste,2017,0.03835255473135163
AZE,Wave and Tidal,2014,
AZE,Wave and Tidal,2015,
AZE,Wave and Tidal,2016,
AZE,Wave and Tidal,2017,
AZE,Wind,2014,0.0972433620835447
AZE,Wind,2015,0.0656392694063927
AZE,Wind,2016,0.1653266506560858
AZE,Wind,2017,0.16068987581072045
BDI,Biomass,2014,
BDI,Biomass,2015,
BDI,Biomass,2016,
BDI,Biomass,2017,
BDI,Coal,2014,
BDI,Coal,2015,
BDI,Coal,2016,
BDI,Coal,2017,
BDI,Cogeneration,2014,
BDI,Cogeneration,2015,
BDI,Cogeneration,2016,
BDI,Cogeneration,2017,
BDI,Gas,2014,
BDI,Gas,2015,
BDI,Gas,2016,
BDI,Gas,2017,
BDI,Geothermal,2014,
BDI,Geothermal,2015,
BDI,Geothermal,2016,
BDI,Geothermal,2017,
BDI,Hydro,2014,0.5408891525545609
BDI,Hydro,2015,0.5305522597346566
BDI,Hydro,2016,0.6093308520861123
BDI,Hydro,2017,0.6114278151204894
BDI,Nuclear,2014,
BDI,Nuclear,2015,
BDI,Nuclear,2016,
BDI,Nuclear,2017,
BDI,Oil,2014,
BDI,Oil,2015,
BDI,Oil,2016,
BDI,Oil,2017,
BDI,Other,2014,
BDI,Other,2015,
BDI,Other,2016,
BDI,Other,2017,
BDI,Petcoke,2014,
BDI,Petcoke,2015,
BDI,Petcoke,2016,
BDI,Petcoke,2017,
BDI,Solar,2014,0.1793868232224397
BDI,Solar,2015,0.1767565178965974
BDI,Solar,2016,0.1777066950997379
BDI,Solar,2017,0.17682872235652253
BDI,Storage,2014,
BDI,Storage,2015,
BDI,Storage,2016,
BDI,Storage,2017,
BDI,Waste,2014,
BDI,Waste,2015,
BDI,Waste,2016,
BDI,Waste,2017,
BDI,Wave and Tidal,2014,
BDI,Wave and Tidal,2015,
BDI,Wave and Tidal,2016,
BDI,Wave and Tidal,2017,
BDI,Wind,2014,
BDI,Wind,2015,
BDI,Wind,2016,
BDI,Wind,2017,
BEL,Biomass,2014,
BEL,Biomass,2015,0.3689440059852387
BEL,Biomass,2016,0.3563586668890421
BEL,Biomass,2017,0.3808710751442443
BEL,Coal,2014,
BEL,Coal,2015,13.213392557202045
BEL,Coal,2016,8.186174515964124
BEL,Coal,2017,
BEL,Cogeneration,2014,
BEL,Cogeneration,2015,
BEL,Cogeneration,2016,
BEL,Cogeneration,2017,
BEL,Gas,2014,
BEL,Gas,2015,0.4575426115733704
BEL,Gas,2016,0.45826025523905456
BEL,Gas,2017,0.47579945280869623
BEL,Geothermal,2014,
BEL,Geothermal,2015,
BEL,Geothermal,2016,
BEL,Geothermal,2017,
BEL,Hydro,2014,0.27548209366391185
BEL,Hydro,2015,0.324119373776908
BEL,Hydro,2016,0.3662786093292152
BEL,Hydro,2017,0.2728613569321534
BEL,Nuclear,2014,
BEL,Nuclear,2015,0.4899366196231413
BEL,Nuclear,2016,0.8146669170396805
BEL,Nuclear,2017,0.792573789864245
BEL,Oil,2014,
BEL,Oil,2015,0.03329688137330587
BEL,Oil,2016,0.03177598687807316
BEL,Oil,2017,0.026287011610504635
BEL,Other,2014,
BEL,Other,2015,2.221186978733609
BEL,Other,2016,2.5091603957259587
BEL,Other,2017,2.594660895511826
BEL,Petcoke,2014,
BEL,Petcoke,2015,
BEL,Petcoke,2016,
BEL,Petcoke,2017,
BEL,Solar,2014,0.10919362609193627
BEL,Solar,2015,0.11131139627440428
BEL,Solar,2016,0.10586575728939836
BEL,Solar,2017,0.10397185384889407
BEL,Storage,2014,
BEL,Storage,2015,
BEL,Storage,2016,
BEL,Storage,2017,
BEL,Waste,2014,
BEL,Waste,2015,0.17157513799797244
BEL,Waste,2016,0.18529133613883927
BEL,Waste,2017,0.191537012272819
BEL,Wave and Tidal,2014,
BEL,Wave and Tidal,2015,
BEL,Wave and Tidal,2016,
BEL,Wave and Tidal,2017,
BEL,Wind,2014,0.2710012777871733
BEL,Wind,2015,0.29241790894439973
BEL,Wind,2016,0.2611672161890049
BEL,Wind,2017,0.2649056095245908
BEN,Biomass,2014,
BEN,Biomass,2015,
BEN,Biomass,2016,
BEN,Biomass,2017,
BEN,Coal,2014,
BEN,Coal,2015,
BEN,Coal,2016,
BEN,Coal,2017,
BEN,Cogeneration,2014,
BEN,Cogeneration,2015,
BEN,Cogeneration,2016,
BEN,Cogeneration,2017,
BEN,Gas,2014,
BEN,Gas,2015,0.15839041095890413
BEN,Gas,2016,0.009961293260473588
BEN,Gas,2017,0.1997716894977169
BEN,Geothermal,2014,
BEN,Geothermal,2015,
BEN,Geothermal,2016,
BEN,Geothermal,2017,
BEN,Hydro,2014,0.0
BEN,Hydro,2015,0.25114155251141557
BEN,Hydro,2016,0.0
BEN,Hydro,2017,0.022831050228310504
BEN,Nuclear,2014,
BEN,Nuclear,2015,
BEN,Nuclear,2016,
BEN,Nuclear,2017,
BEN,Oil,2014,
BEN,Oil,2015,0.20737090839673433
BEN,Oil,2016,0.2514662872993828
BEN,Oil,2017,0.18011088287979274
BEN,Other,2014,
BEN,Other,2015,
BEN,Other,2016,
BEN,Other,2017,
BEN,Petcoke,2014,
BEN,Petcoke,2015,
BEN,Petcoke,2016,
BEN,Petcoke,2017,
BEN,Solar,2014,0.28538812785388123
BEN,Solar,2015,0.504185692541857
BEN,Solar,2016,0.20805853903649268
BEN,Solar,2017,0.20862856243111325
BEN,Storage,2014,
BEN,Storage,2015,
BEN,Storage,2016,
BEN,Storage,2017,
BEN,Waste,2014,
BEN,Waste,2015,
BEN,Waste,2016,
BEN,Waste,2017,
BEN,Wave and Tidal,2014,
BEN,Wave and Tidal,2015,
BEN,Wave and Tidal,2016,
BEN,Wave and Tidal,2017,
BEN,Wind,2014,
BEN,Wind,2015,
BEN,Wind,2016,
BEN,Wind,2017,
BFA,Biomass,2014,
BFA,Biomass,2015,
BFA,Biomass,2016,
BFA,Biomass,2017,
BFA,Coal,2014,
BFA,Coal,2015,
BFA,Coal,2016,
BFA,Coal,2017,
BFA,Cogeneration,2014,
BFA,Cogeneration,2015,
BFA,Cogeneration,2016,
BFA,Cogeneration,2017,
BFA,Gas,2014,
BFA,Gas,2015,
BFA,Gas,2016,
BFA,Gas,2017,
BFA,Geothermal,2014,
BFA,Geothermal,2015,
BFA,Geothermal,2016,
BFA,Geothermal,2017,
BFA,Hydro,2014,0.3228453196347032
BFA,Hydro,2015,0.3335473744292238
BFA,Hydro,2016,0.49628586065573765
BFA,Hydro,2017,0.45626426940639275
BFA,Nuclear,2014,
BFA,Nuclear,2015,
BFA,Nuclear,2016,
BFA,Nuclear,2017,
BFA,Oil,2014,
BFA,Oil,2015,
BFA,Oil,2016,
BFA,Oil,2017,
BFA,Other,2014,
BFA,Other,2015,
BFA,Other,2016,
BFA,Other,2017,
BFA,Petcoke,2014,
BFA,Petcoke,2015,
BFA,Petcoke,2016,
BFA,Petcoke,2017,
BFA,Solar,2014,0.18427919112850621
BFA,Solar,2015,0.18550228310502284
BFA,Solar,2016,0.1844262295081967
BFA,Solar,2017,0.07024938531787847
BFA,Storage,2014,
BFA,Storage,2015,
BFA,Storage,2016,
BFA,Storage,2017,
BFA,Waste,2014,
BFA,Waste,2015,
BFA,Waste,2016,
BFA,Waste,2017,
BFA,Wave and Tidal,2014,
BFA,Wave and Tidal,2015,
BFA,Wave and Tidal,2016,
BFA,Wave and Tidal,2017,
BFA,Wind,2014,
BFA,Wind,2015,
BFA,Wind,2016,
BFA,Wind,2017,
BGD,Biomass,2014,
BGD,Biomass,2015,0.0
BGD,Biomass,2016,0.0
BGD,Biomass,2017,0.0
BGD,Coal,2014,
BGD,Coal,2015,0.398434396597682
BGD,Coal,2016,0.43919262526235986
BGD,Coal,2017,0.4120219286782449
BGD,Cogeneration,2014,
BGD,Cogeneration,2015,
BGD,Cogeneration,2016,
BGD,Cogeneration,2017,
BGD,Gas,2014,
BGD,Gas,2015,0.6238198727358524
BGD,Gas,2016,0.7215384408488161
BGD,Gas,2017,0.7541272827387135
BGD,Geothermal,2014,
BGD,Geothermal,2015,
BGD,Geothermal,2016,
BGD,Geothermal,2017,
BGD,Hydro,2014,0.2936271590232281
BGD,Hydro,2015,0.38832638475282905
BGD,Hydro,2016,0.4928922150946385
BGD,Hydro,2017,0.5108695652173912
BGD,Nuclear,2014,
BGD,Nuclear,2015,
BGD,Nuclear,2016,
BGD,Nuclear,2017,
BGD,Oil,2014,
BGD,Oil,2015,0.2603423629739443
BGD,Oil,2016,0.30577693117750754
BGD,Oil,2017,0.3590817694153347
BGD,Other,2014,
BGD,Other,2015,
BGD,Other,2016,
BGD,Other,2017,
BGD,Petcoke,2014,
BGD,Petcoke,2015,
BGD,Petcoke,2016,
BGD,Petcoke,2017,
BGD,Solar,2014,0.15629623802727735
BGD,Solar,2015,0.15641161482378466
BGD,Solar,2016,0.15594778697913733
BGD,Solar,2017,0.15640751942121808
BGD,Storage,2014,
BGD,Storage,2015,
BGD,Storage,2016,
BGD,Storage,2017,
BGD,Waste,2014,
BGD,Waste,2015,0.0
BGD,Waste,2016,0.0
BGD,Waste,2017,0.0
BGD,Wave and Tidal,2014,
BGD,Wave and Tidal,2015,
BGD,Wave and Tidal,2016,
BGD,Wave and Tidal,2017,
BGD,Wind,2014,0.3064167267483779
BGD,Wind,2015,0.2007557864903165
BGD,Wind,2016,0.2002072734124741
BGD,Wind,2017,0.2007557864903165
BGR,Biomass,2014,
BGR,Biomass,2015,0.6107440659028773
BGR,Biomass,2016,0.7904544275479773
BGR,Biomass,2017,0.8891715077115421
BGR,Coal,2014,
BGR,Coal,2015,0.557314785010415
BGR,Coal,2016,0.47785976315370937
BGR,Coal,2017,0.51752426133149
BGR,Cogeneration,2014,
BGR,Cogeneration,2015,
